car,move
AD,-1
F,-1
AA,1
AP,1
AI,-1
AB,1
AK,-1
P,1
AI,1
AA,-1
R,1
F,1
G,1
AQ,-1
X,-1
W,-1
G,-1
AA,1
R,-1
V,1
AP,-1
C,-1
Q,-1
T,1
AB,-1
AQ,1
T,-1
AC,1
N,1
AC,1
L,1
P,-1
AE,-1
AA,-1
AG,1
AP,1
G,1
AK,1
G,-1
AG,-1
AC,1
AI,-1
P,1
AI,1
AJ,1
AE,1
T,-1
R,1
X,-1
V,-1
AJ,-1
V,1
L,-1
AC,-1
T,1
AJ,1
AD,1
AC,-1
AQ,-1
X,1
N,-1
AC,1
Q,1
G,1
Q,-1
AD,-1
G,1
R,-1
AI,-1
AK,-1
AD,1
AK,1
AJ,-1
R,1
AC,1
T,-1
Q,1
AJ,1
J,1
C,1
AQ,1
N,1
AI,-1
V,-1
AA,1
Y,-1
G,1
AI,1
J,-1
AD,-1
AA,-1
T,1
L,1
AQ,-1
P,-1
AA,1
N,1
F,-1
R,-1
H,-1
AJ,-1
AC,-1
L,-1
N,-1
AE,-1
AA,-1
R,1
P,1
AC,-1
AI,1
AJ,1
J,1
AC,1
C,-1
AI,-1
AE,1
R,-1
P,-1
C,1
AA,1
AJ,-1
T,-1
C,-1
AJ,1
C,1
AA,-1
Y,1
AE,-1
H,1
R,1
AE,1
AK,-1
R,-1
AI,-1
R,1
P,1
J,-1
AK,1
T,1
Y,-1
R,-1
AD,1
AA,1
AK,-1
AR,-1
H,-1
AD,-1
N,1
AC,-1
C,-1
AQ,-1
AA,-1
T,1
P,-1
AD,1
AQ,1
J,1
R,1
AC,-1
M,1
R,1
AQ,-1
AI,1
Q,-1
AB,1
AI,1
R,-1
P,1
N,-1
R,1
AQ,1
AA,1
AB,-1
P,-1
H,1
Q,1
AQ,1
AG,1
AB,1
P,1
H,-1
AR,1
AD,-1
H,1
AR,-1
Y,1
V,1
P,-1
AB,-1
AJ,-1
AB,1
H,-1
AJ,1
C,1
AA,-1
AJ,-1
AB,-1
AD,1
AR,1
AC,1
AD,-1
J,1
AI,-1
AG,-1
H,1
AJ,1
AQ,-1
J,1
C,-1
Q,-1
AK,1
AI,1
J,-1
AD,1
AC,1
AA,1
AJ,-1
J,1
AK,-1
AA,-1
V,-1
J,-1
AA,1
V,1
AR,-1
F,1
AD,-1
F,-1
J,1
AR,1
F,1
V,-1
W,1
R,-1
AQ,1
AE,-1
M,-1
AI,-1
AJ,1
L,1
AE,1
G,-1
X,1
AD,1
P,-1
AG,1
G,1
AI,-1
AA,1
AK,1
AJ,-1
F,-1
K,1
AA,-1
AD,-1
M,1
AE,-1
H,-1
AK,-1
P,1
U,-1
AK,1
H,1
AJ,1
H,-1
X,-1
AK,-1
M,-1
Q,1
U,1
AA,-1
M,1
AI,1
AE,1
X,1
AC,-1
AR,-1
AG,-1
Q,-1
AA,1
AD,1
AJ,-1
R,1
H,1
R,-1
AQ,-1
R,1
AP,-1
AI,-1
AQ,1
AC,1
Q,1
AA,-1
K,-1
AO,1
AD,-1
R,1
F,1
E,-1
G,-1
M,1
Q,-1
AR,1
AD,1
AK,1
AA,1
AQ,-1
AC,1
M,-1
G,-1
Q,1
AQ,1
K,1
M,1
AC,-1
E,-1
AA,1
E,1
K,-1
C,1
AG,1
C,-1
G,-1
AG,-1
E,1
AC,1
AQ,-1
AI,1
G,1
M,-1
AQ,1
E,-1
AI,-1
Q,-1
G,1
AQ,-1
G,1
P,-1
AA,-1
F,-1
F,-1
AD,-1
AA,1
AC,-1
L,-1
AO,1
F,1
J,-1
Q,1
P,1
E,-1
F,-1
AA,-1
F,-1
J,-1
O,-1
AC,1
G,-1
N,-1
AO,-1
AO,-1
AP,1
AA,1
H,-1
AD,1
AJ,1
AQ,1
AI,1
O,1
AI,1
AQ,-1
D,1
AJ,-1
P,-1
AI,-1
J,-1
AC,-1
AI,1
AA,-1
AP,-1
AD,-1
AK,-1
AO,1
A,-1
AA,1
AR,-1
AE,-1
A,-1
AC,-1
AI,-1
L,1
AI,-1
AC,1
AO,1
A,-1
P,1
P,1
AR,1
AC,-1
K,1
AI,1
P,-1
U,-1
AA,-1
N,1
AQ,-1
AC,-1
AR,-1
P,1
AI,1
G,-1
K,-1
M,1
AR,1
P,-1
K,1
AB,1
AK,1
M,-1
AB,-1
G,1
U,1
A,-1
A,-1
P,-1
A,1
N,-1
U,-1
H,1
K,-1
AI,-1
AI,-1
G,-1
P,1
AI,1
K,1
N,-1
K,-1
H,-1
P,1
B,-1
AK,-1
D,-1
H,-1
AI,1
B,1
N,1
B,-1
P,-1
AC,1
A,-1
AQ,1
A,-1
AK,1
AI,-1
AA,1
A,1
H,1
N,1
AK,-1
U,1
H,-1
U,-1
AI,-1
AC,1
B,1
AA,-1
U,1
P,-1
G,-1
H,-1
AE,1
P,1
AK,1
K,1
M,1
AC,-1
AK,-1
M,-1
AC,1
N,-1
AI,1
AD,1
N,1
P,-1
M,1
K,-1
M,-1
AK,1
AI,-1
AO,-1
K,1
AQ,1
AD,-1
K,-1
AK,-1
AI,1
AD,1
A,-1
AD,-1
P,1
B,-1
J,-1
AI,1
P,1
A,1
AQ,-1
AE,-1
H,1
M,1
AA,-1
H,-1
L,-1
B,-1
B,-1
J,1
P,-1
AK,1
AC,-1
P,1
I,-1
A,-1
AA,1
AE,1
L,1
P,-1
AC,-1
P,1
AK,-1
AQ,-1
AD,1
L,-1
AO,1
P,-1
AQ,1
J,-1
AR,-1
AB,1
AQ,-1
B,1
AQ,1
A,1
AO,1
AD,-1
M,-1
L,1
N,-1
P,-1
N,1
AO,-1
I,1
J,1
AQ,-1
M,1
AO,1
B,-1
AP,1
AI,-1
AQ,1
AP,-1
B,1
P,1
B,1
AE,-1
AQ,-1
AI,-1
L,-1
A,-1
J,-1
AB,-1
AQ,1
AO,-1
AI,1
AQ,-1
AR,1
M,-1
AI,-1
AB,1
U,-1
J,1
AO,-1
B,1
U,1
AR,-1
AB,-1
L,1
B,-1
AE,1
H,1
F,1
AO,-1
AA,-1
AQ,1
AO,1
L,-1
M,1
AO,-1
H,1
F,-1
L,1
AQ,1
AD,1
AR,1
AI,1
H,1
K,1
AQ,-1
AD,-1
F,1
AQ,-1
AO,1
AE,-1
A,1
B,-1
K,-1
AK,1
AC,1
F,-1
AE,1
L,-1
AK,-1
D,1
B,1
D,-1
H,-1
A,-1
D,1
J,-1
H,1
P,1
M,-1
F,1
D,-1
AI,1
F,1
M,1
AD,1
AO,-1
B,-1
AK,1
F,1
AI,-1
J,1
A,1
AA,1
P,-1
A,-1
E,1
B,-1
M,-1
AQ,1
AO,1
E,-1
A,1
G,1
E,1
N,-1
AO,1
N,1
Q,-1
AD,-1
AA,1
AO,-1
P,-1
Q,1
AC,1
C,1
M,1
AQ,1
AI,-1
AG,1
AA,1
G,-1
B,1
G,1
C,-1
A,-1
E,1
L,1
AA,-1
AC,-1
J,-1
P,1
AI,1
P,1
AG,-1
AQ,-1
G,1
J,1
AA,-1
C,1
A,1
AO,1
A,-1
R,-1
AA,-1
A,1
C,-1
J,-1
AE,-1
R,-1
P,-1
Q,-1
R,1
G,-1
AC,-1
R,-1
K,1
M,-1
A,1
M,-1
AI,-1
AA,-1
AC,1
A,-1
AA,1
P,1
K,-1
AK,-1
AE,1
J,1
AR,-1
J,-1
A,1
M,1
AD,1
I,-1
R,1
K,1
A,-1
AA,-1
R,-1
AO,-1
AI,1
X,-1
B,-1
AO,1
M,-1
AO,1
A,-1
G,1
G,1
M,1
AC,1
AI,-1
H,1
A,1
X,-1
E,1
A,1
X,1
P,-1
R,1
AA,1
W,-1
H,-1
K,-1
V,1
E,-1
AP,1
R,-1
AJ,1
L,-1
E,1
A,-1
A,-1
B,1
V,-1
AI,1
J,1
Q,1
AJ,-1
AP,-1
P,1
J,1
H,1
A,1
A,1
W,1
R,1
AD,-1
B,-1
AO,-1
F,1
R,-1
A,-1
C,1
R,-1
E,-1
M,-1
AD,1
P,-1
AO,1
C,-1
M,1
Q,-1
O,-1
AO,-1
AD,-1
P,1
Q,1
W,-1
AO,-1
E,1
AQ,1
Q,-1
O,1
R,1
Q,1
P,-1
AI,-1
AO,-1
Q,-1
A,1
O,-1
W,1
AA,1
Q,1
X,1
AA,1
E,-1
AG,1
P,1
A,-1
A,-1
AI,1
C,1
AD,1
X,-1
AA,-1
A,1
W,-1
R,1
P,-1
AO,1
E,1
AA,-1
W,1
AC,-1
J,-1
AI,1
AF,-1
J,-1
R,-1
X,1
AE,1
AC,1
AE,-1
R,1
L,1
P,1
AN,-1
R,1
A,-1
A,-1
AN,1
AC,-1
AA,1
AF,1
A,1
L,-1
AO,-1
AC,-1
O,1
D,1
B,1
AO,1
R,-1
AG,-1
J,1
E,-1
AB,1
R,-1
AI,-1
X,-1
P,-1
A,1
D,-1
J,-1
AB,-1
P,1
C,-1
Q,-1
X,-1
AB,1
F,-1
AQ,-1
H,1
F,1
L,1
AQ,1
B,-1
R,1
AB,-1
A,-1
D,1
P,-1
W,-1
E,1
AG,1
AB,1
K,1
B,1
R,-1
K,-1
AI,-1
AB,-1
AG,-1
F,1
AG,1
K,1
P,-1
AD,-1
X,1
AO,-1
R,1
AI,1
AC,1
A,1
R,-1
A,1
AA,1
M,-1
AC,1
P,1
W,1
AA,-1
F,-1
R,-1
B,-1
A,1
AR,1
AA,1
AI,-1
AK,1
P,1
A,-1
AA,1
F,1
AC,1
AA,-1
AB,1
B,1
P,-1
AA,1
T,-1
Q,1
K,-1
D,-1
T,-1
K,1
AO,1
P,1
C,1
AA,-1
AO,-1
X,1
T,1
AP,1
D,1
P,-1
T,1
AB,-1
C,-1
T,-1
F,-1
T,1
H,-1
P,1
AB,1
E,-1
AB,-1
J,1
AA,-1
X,-1
AB,1
K,-1
P,-1
C,1
G,-1
M,1
N,-1
AB,-1
AP,-1
K,1
AB,1
C,-1
K,-1
A,-1
K,1
M,-1
AE,-1
X,1
P,1
N,1
M,1
G,1
J,-1
AP,1
R,1
H,1
F,1
C,1
E,1
M,-1
AA,-1
AE,1
K,-1
AA,1
A,-1
AA,-1
AE,-1
AJ,1
U,-1
C,-1
K,1
C,1
AA,1
U,1
A,-1
AA,-1
E,-1
AA,-1
M,1
AB,-1
AI,1
M,-1
A,1
AI,1
E,1
AJ,-1
AB,1
AA,-1
D,-1
AB,-1
O,-1
AA,1
T,-1
AC,-1
B,-1
AA,1
AC,-1
A,-1
AC,1
P,-1
AI,-1
P,1
AE,1
B,1
P,-1
AI,1
AE,-1
AJ,1
AE,1
AC,1
E,-1
A,1
AG,-1
B,-1
AB,1
AI,-1
T,-1
AG,1
X,1
A,1
AF,-1
R,-1
P,1
AA,-1
R,1
G,-1
AI,1
N,-1
AI,-1
AA,-1
A,1
AE,-1
AJ,-1
AE,1
P,-1
B,1
G,-1
N,-1
AA,1
AP,-1
